node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0051160	GO:0051164	biological_function	biological_function	L-xylitol catabolic process	L-xylitol metabolic process
GO:0051160	GO:0019527	biological_function	biological_function	L-xylitol catabolic process	pentitol catabolic process
GO:0051164	GO:0019519	biological_function	biological_function	L-xylitol metabolic process	pentitol metabolic process
GO:0051175	GO:0006790	biological_function	biological_function	negative regulation of sulfur metabolic process	sulfur compound metabolic process
GO:0051175	GO:0042762	biological_function	biological_function	negative regulation of sulfur metabolic process	regulation of sulfur metabolic process
GO:0051175	GO:0031324	biological_function	biological_function	negative regulation of sulfur metabolic process	negative regulation of cellular metabolic process
GO:0051176	GO:0006790	biological_function	biological_function	positive regulation of sulfur metabolic process	sulfur compound metabolic process
GO:0051176	GO:0042762	biological_function	biological_function	positive regulation of sulfur metabolic process	regulation of sulfur metabolic process
GO:0051176	GO:0031325	biological_function	biological_function	positive regulation of sulfur metabolic process	positive regulation of cellular metabolic process
GO:0051205	GO:0061024	biological_function	biological_function	protein insertion into membrane	membrane organization
GO:0051205	GO:0034613	biological_function	biological_function	protein insertion into membrane	cellular protein localization
GO:0051205	GO:0090150	biological_function	biological_function	protein insertion into membrane	establishment of protein localization to membrane
GO:0051208	GO:0006874	biological_function	biological_function	sequestering of calcium ion	cellular calcium ion homeostasis
GO:0051208	GO:0051235	biological_function	biological_function	sequestering of calcium ion	maintenance of location
GO:0051209	GO:0097553	biological_function	biological_function	release of sequestered calcium ion into cytosol	calcium ion transmembrane import into cytosol
GO:0051209	GO:0051283	biological_function	biological_function	release of sequestered calcium ion into cytosol	negative regulation of sequestering of calcium ion
GO:0097553	GO:0060402	biological_function	biological_function	calcium ion transmembrane import into cytosol	calcium ion transport into cytosol
GO:0097553	GO:0070588	biological_function	biological_function	calcium ion transmembrane import into cytosol	calcium ion transmembrane transport
GO:0051283	GO:0051208	biological_function	biological_function	negative regulation of sequestering of calcium ion	sequestering of calcium ion
GO:0051283	GO:0048523	biological_function	biological_function	negative regulation of sequestering of calcium ion	negative regulation of cellular process
GO:0051283	GO:0032845	biological_function	biological_function	negative regulation of sequestering of calcium ion	negative regulation of homeostatic process
GO:0051283	GO:0051282	biological_function	biological_function	negative regulation of sequestering of calcium ion	regulation of sequestering of calcium ion
GO:0061448	GO:0009888	biological_function	biological_function	connective tissue development	tissue development
GO:1904951	GO:0045184	biological_function	biological_function	positive regulation of establishment of protein localization	establishment of protein localization
GO:1904951	GO:0048518	biological_function	biological_function	positive regulation of establishment of protein localization	positive regulation of biological process
GO:1904951	GO:0070201	biological_function	biological_function	positive regulation of establishment of protein localization	regulation of establishment of protein localization
GO:0070201	GO:0045184	biological_function	biological_function	regulation of establishment of protein localization	establishment of protein localization
GO:0070201	GO:0032880	biological_function	biological_function	regulation of establishment of protein localization	regulation of protein localization
GO:1904950	GO:0045184	biological_function	biological_function	negative regulation of establishment of protein localization	establishment of protein localization
